Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
42594738,Night Sky with Exit Wounds,David L. Roll,"Roll, David L.",,110199097X,9.7811E+12,0,4.67,Dutton Caliber,Hardcover,704,2019,2019,,7/7/2019,to-read,to-read (#1805),to-read,,,,0,,,0,,,,,
3488059,Fully Automated Luxury Communism: A Manifesto,J.J. Fletcher,"Fletcher, J.J.",,731633571,9.78073E+12,0,5,J. Fletcher,Unknown Binding,375,1989,1989,,7/2/2019,to-read,to-read (#1804),to-read,"<blockquote><br/>Turn back & find the book I left<br/>                   for us, filled<br/>                                     with all the colors of the sky<br/>             forgotten by gravediggers.<br/>                                                            Use it.<br/>Use it to prove how the stars<br/>                    were always what we knew<br/>             they were: the exit wounds<br/>                                               of every<br/>                       misfired word.<br/></blockquote><br/><br/>Just beautiful.",,,0,,,0,,,,,
23841432,Honeybee,Ocean Vuong,"Vuong, Ocean",,155659495X,,4,4.31,Copper Canyon Press,Paperback,89,2016,2016,,5/28/2019,"poetry, vietnam, america","poetry (#7), vietnam (#3), america (#85)",read,,,,1,,,0,,,,,
37758635,The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did),Aaron Bastani,"Bastani, Aaron",,1786632624,9.78179E+12,0,3.61,Verso,Hardcover,278,2019,2018,,6/13/2019,to-read,to-read (#1803),to-read,,,,0,,,0,,,,,
36206132,Lost and Wanted,Trista Mateer,"Mateer, Trista",,1771681365,9.78177E+12,0,3.94,Central Avenue Publishing,Paperback,160,2018,2014,,6/11/2019,to-read,to-read (#1802),to-read,,,,0,,,0,,,,,
42348818,Life on Mars,Philippa Perry,"Perry, Philippa",,,,0,4.2,Penguin,Kindle Edition,240,2019,,,6/11/2019,to-read,to-read (#1801),to-read,,,,0,,,0,,,,,
40177418,ABC of Reading,Nell Freudenberger,"Freudenberger, Nell",,385352689,9.78039E+12,0,3.55,Knopf Publishing Group,Hardcover,336,2019,2019,,6/9/2019,to-read,to-read (#1800),to-read,"These poems sing to many, but for some reason, not to me.",,,0,,,0,,,,,
9639765,"The Pandemic Century: One Hundred Years of Panic, Hysteria, and Hubris",Tracy K. Smith,"Smith, Tracy K.",,1555975844,9.78156E+12,3,4.1,Graywolf Press,Paperback,75,2011,2011,,4/16/2019,poetry,poetry (#6),read,"Pound wants you to be on fire for poetry as much as he is, if he were a professor at university he'd be the one who would have extremely interesting and tiring lectures, followed by ridiculously hard exams ('Yes, we did not have that <i>directly</i> in the lectures, but I expect you to work on this in your free time! It would have easily appeared to you if you would have an <i>iota</i> of interest in your chosen field!'), and if you would fail he would be personally offended. His style is rambling and aggressive, so much to teach but so little time, but it's not empty posturing, it's because he loves this. There are copious exhibits from English poetry of the last 500 years or so, but very little explanation, he often gets so excited that there's no time to develop thoughts or explain sentences, on a poem by Chaucer:<br/><br/><blockquote><br/>English lyric, the technique for singing already complete, no augmentation of singability from Chaucer's days to our won. The French fourteenth-century lyric mode, common to all Europe. Idiom has changed, but no greater <i>fitness to be sung</i> has been attained. NOt even by Shakespeare with the aid of later Italian song-books.<br/></blockquote><br/><br/>If you love your field you may end up having little time for those who just treat it as a hobby, or by  a way to make money:<br/><br/><blockquote><br/>From the time Thos. Jefferson jotted down an amateur's notes on what seemed to be the current practice of English versification, the general knowledge, especially among hacks, appears to be have diminished to zero, and to have passed into infinite negative.<br/></blockquote><br/><br/>Because he has so much to say there are many fields he touches, and the reader is left to explore on her own time what Pound wanted to include. But he is <i>never</i> unfair:<br/><br/><blockquote><br/>I think it would be sheer idiocy to try to force this kind of reading [reading all of Pope's long poems] on the general reader, and nothing could dry up the interest of a young student more quickly than telling him he must, should, or ought to BE INTERESTED in such pages. Such reading is not even training for writers. It is a specialized form of archaeology.<br/></blockquote><br/><br/>There is some overlap with Borges' relatively recently published lectures on English literature, in that both are much more concerned with how it sounds, how it has an impact on <i>you</i>, than with any technicalities. Borges, blind, would let his students read poems aloud, then exclaim how beautiful they sound, and move on to the next poet. Learning technicalities won't teach you inner depth.<br/><br/>Recommended for: friends of poetry, especially in English, especially around 1800<br/><br/>P.S.: Bonus quote:<br/><blockquote><br/>The chief cause of false writing is economic. Many writers need or want money. These writers could be cured by an application of banknotes.<br/></blockquote>",,,1,,,0,,,,,
145108,The Ethical Algorithm: The Science of Socially Aware Algorithm Design,Ezra Pound,"Pound, Ezra",,811201511,9.78081E+12,4,3.95,New Directions,Paperback,208,1960,1934,,3/22/2019,"poetry, non-fiction","poetry (#5), non-fiction (#169)",read,,,,1,,,0,,,,,
40180087,The Catalogue of Shipwrecked Books,Mark Honigsbaum,"Honigsbaum, Mark",,393254755,9.78039E+12,0,3.99,W. W. Norton  Company,Hardcover,464,2019,,,6/6/2019,to-read,to-read (#1799),to-read,,,,0,,,0,,,,,
39153321,Vielleicht Esther,Marcia Langton,"Langton, Marcia",,1741175437,9.78174E+12,0,4.16,Hardie Grant,Hardcover,256,2018,,,6/15/2018,to-read,to-read (#1588),to-read,,,,0,,,0,,,,,
44244975,The Queen's Gambit,Michael Kearns,"Kearns, Michael",Aaron Roth,190948205,9.78019E+12,0,0,"Oxford University Press, USA",Hardcover,256,2019,,,6/3/2019,to-read,to-read (#1798),to-read,,,,0,,,0,,,,,
6405501,Exhalation: Stories,John Maynard,"Maynard, John",,855755504,9.78086E+12,0,4.67,Aboriginal Studies Press,Paperback,208,2007,2007,,6/3/2019,to-read,to-read (#1797),to-read,,,,0,,,0,,,,,
463863,Power Without Glory,Richard Broome,"Broome, Richard",,1865087556,9.78187E+12,0,3.99,Allen  Unwin,Paperback,336,2002,2002,,6/3/2019,to-read,to-read (#1796),to-read,,,,0,,,0,,,,,
38185567,The War on Normal People: The Truth About America's Disappearing Jobs and Why Universal Basic Income Is Our Future,Edward Wilson-Lee,"Wilson-Lee, Edward",,8146225,9.78001E+12,0,3.71,William Collins ,Hardcover,416,2018,2018,,6/1/2019,to-read,to-read (#1795),to-read,,,,0,,,0,,,,,
18343703,"Asimov's Science Fiction, October/November 2011",Katja Petrowskaja,"Petrowskaja, Katja",,3518424041,9.78352E+12,0,3.8,Suhrkamp Verlag,Hardcover,285,2014,2014,,3/12/2014,to-read,to-read (#539),to-read,,,,0,,,0,,,,,
26189516,The Prone Gunman,Walter Tevis,"Tevis, Walter",,,,0,4.13,Weidenfeld & Nicolson,Kindle Edition,276,2016,1983,,5/27/2019,to-read,to-read (#1794),to-read,"Chiang is the undisputed king of the 'what-if' SF story - he takes a what-if question and really thinks it all the way through, then sets a story in that universe. That was already the main theme in his first collection (Stories of Your Life And Others), with one story in a world where angels, miracles, and hell are real and angelic visitations are absolutely terrifying (<i>Hell is the absence of God</i>), or one story where the geocentric model is the correct one (<i>Tower of Babylon</i>).<br/><br/>The second collection is very much like that, so no surprises there. What's really cool is a small 'making of' section at the end where Chiang explains his intentions and inspirations behind each story.<br/><br/>Let's go through the stories, with some comments:<br/><br/><ul><br/><li><i>The Merchant and the Alchemist's Gate</i> - Time travel is real, but only between specific gates. You can only travel to the time points in which the gate existed, so you can't go very far. The story itself is structured like <i>One Thousand and One Nights</i>, a few stories within one larger story, all concerning different 'users' of these gates in a Middle Eastern past setting.</li><br/><li><i>Exhalation</i> - some-kind-of-robots are discovering that time is slowing down for them, but why? So a robo-scientist sets out to dissect his own brain to find an explanation, what are thoughts made of for robots? This one has a great twist/solution, I loved it</li><br/><li><i>What's Expected of Us</i> - I've read this one in Nature first - a small machine is released which displays a light about a second before you press it. What sounds like a small gadget actually causes a crisis in mankind, as it shows that we have no free will! This one reminded me of an earlier story by Chiang, <i>Division By Zero</i>, where a mathematician has a crisis after proving mathematics to be inconsistent</li><br/><li><i>The Lifecycle of Software Objects</i> - In some kind of online VR system people develop simple artificial intelligence in the form of cutesy creatures, but the company goes bankrupt, and only the hard core of fans keeps on looking after their creatures over decades. This was published before as a separate novella, and I still don't really like it; the basic idea is cool (if you want truly mature AI, be prepared that you will have to raise it like a human child for 20 years), but it's just very long for what it wants to say. There is, however, tech-melancholia which should have its own term - that feeling you get when you visit an IRC channel of your youth, and find it barren. Everyone has left. Is there a German word for this?</li><br/><li><i>Dacey's Patent Automatic Nanny</i> - Very short story about an automatic child-rearing robot in a Victorian/steampunky setting. Didn't leave much of an impression on me.</li><br/><li><i>The Truth of Fact, the Truth of Feeling</i> - This one was my favorite. A new technology allows people to easily search through video recordings of their life. There's a parallel story of a tribe which is first introduced to writing. This is tightly constructed and has a point which I've never heard of before - we as mankind switched from a oral to a literal society with writing, which had profound impacts on our collective psyche. However, our internal monologue is still oral, we believe about ourselves what we want to believe. With the searchable self-video system that internal world also becomes literal, and people's (including the narrator's) self-perceptions shatter. Again, this was my favorite story, I find that switch from oral to literal absolutely fascinating.</li><br/><blockquote><br/>And I think I found the real benefit of digital memory. The point is not to prove you were right; the point is to admit you were wrong.<br/></blockquote><br/><li><i>The Great Silence</i> - A parrot asks us why we are so interested in talking with aliens if there are animals on our earth that can already talk, and have shown signs of intelligence? This was apparently (thanks making-of at the end!) for an exhibition, which explains why it isn't as 'rich' as the other stories, it was intended to be projected in bits, so less of a chance to really flesh out this material?<br/><br/></li><br/><li><i>Omphalos</i> - similar to the <i>Tower of Babylon</i>, what happens if the Copernican model of the world is real? In this case we follow an archeologist who digs up items supporting young earth creatonism, early humans without navels, early trees where the age-rings kind of start in the middle, and so on. There's another collective-psyche-shattering-event in this story which I'd rather not spoil!</li><br/><li><i>Anxiety is the Dizziness of Freedom</i> - a new device is released, you press a button, and two time lines diverge. You are in one time line, and can (for a few gigs of data!) communicate with other humans in the other time line. They differ by just one atom but over time, this is enough to cause drastic changes, so older devices are worth more. Again, there's a kind of mental crisis: people can search for and interrogate timelines where their life-altering decisions turned out differently. Some people become incapable of making decisions, some can't get past their grief as long as they can talk with their still-living partner in another time-line, and so on. The story concerns two women who fell out with each other during high school, how their lives developed differently, and what they could have done differently. This is a beautiful story.</li><br/></ul><br/><br/>Personally, <i>The Truth Of Fact</i> <i>Omphalos</i>, and <i>Anxiety is the Dizziness of Freedom</i> were the strongest stories in here (interestingly, two of these three stories weren't published before!). Like Borges used to, Chiang really understands how to build an alternative universe and then strictly think it to the end. Like the best writers of SF, Chiang understands that the machine, the technology is just a mirror for mankind, for its anxieties and obsessions: it's never about tech, it's always about the human.",,,0,,,0,,,,,
41160292,"Killing Floor (Jack Reacher, #1)",Ted Chiang,"Chiang, Ted",,,,4,4.38,Knopf,Kindle Edition,352,2019,2019,,2/14/2019,"sf, america, short-stories","sf (#31), america (#84), short-stories (#36)",read,,,,1,,,0,,,,,
500740,"Future Histories: What Ada Lovelace, Tom Paine, and the Paris Commune Can Teach Us About Digital Technology",Frank J. Hardy,"Hardy, Frank J.",,,,0,3.91,Hachette Books,Hardcover,671,1982,1950,,5/27/2019,to-read,to-read (#1793),to-read,,,,0,,,0,,,,,
36204293,"Economics in Two Lessons: Why Markets Work So Well, and Why They Can Fail So Badly",Andrew   Yang,"Yang, Andrew",,316414247,9.78032E+12,0,4.28,Dell Magazines,Hardcover,304,2018,2018,,5/26/2019,to-read,to-read (#1792),to-read,You know this is fantasy since people are in touch with their emotions.,,,0,,,0,,,,,
12594178,Designing Data-Intensive Applications,Sheila Williams,"Williams, Sheila","Kristine Kathryn Rusch, Kij Johnson, Kit Reed, Eleanor Arnason, Dominica Phetteplace, Jason K. Chapman, Eugene Mirabelli, Jack Skillingstead, Derek Künsken, Nancy Kress, Ruth Berman, Bruce Boston, Geoffrey A. Landis, Robert Silverberg, James Patrick Kelly, Norman Spinrad, Erwin S. Strauss",,,4,3.95,LeMay & Galt Media,ebook,196,2011,2011,,12/22/2017,"novella, fantasy, sci-fi, nebula, hugo","novella (#6), fantasy (#7), sci-fi (#63), nebula (#1), hugo (#1)",read,,,,1,,,0,,,,,
41641956,The Shockwave Rider,Renai LeMay,"LeMay, Renai",,648259501,9.78065E+12,0,3.5,City Lights Publishers,Paperback,,2018,,,5/15/2019,to-read,to-read (#1791),to-read,"<blockquote><br/>“Come to bed.”<br/>“Oh, no!” exclaimed the girl. “It’s my Saturday. I have one Saturday per month.” <br/>“Saturday,” repeated Terrier. “Saturday? Oh, yeah.”<br/>He got up and left.<br/></blockquote><br/><br/>Terrier is the kind of a person who, if his mother died, he wouldn't be sure if it was today, or yesterday. He's also a ex-mercenary/now-contract killer in France, trying to get out after ten years, while colleagues of his past targets are trying to murder him. That sounds like a complete cliche, but it works because there's an ironic layer (<spoiler>when Terrier tries to sell his story as a book, they reject it on grounds of being too ridiculous</spoiler>), and another layer inspired by French nouveau cinema. But Terrier still gets to shoot people in the face.",,,0,,,0,,,,,
248681,Red Meat Republic: A Hoof-To-Table History of How Beef Changed America,Jean-Patrick Manchette,"Manchette, Jean-Patrick","James Brook, 中条 省平, Jean‐Patrick Manchette",872864022,9.78087E+12,4,3.64,Jove,Paperback,155,2002,1981,,4/25/2019,"crime, thriller, france","crime (#20), thriller (#2), france (#9)",read,"Painfully short sentences, like listening to someone writing the same sentence over and over on a typewriter. <br/><br/>I mean:<br/><blockquote><br/>Now she was looking at me. I stood there, an officer on each elbow. Stevenson was backed up against the reception counter. His shotgun was pointed at me. Baker stood there, looking at me. The desk sergeant and the woman in uniform were looking at me. I looked back at them.<br/></blockquote><br/><br/>It goes on a like this, no space for singing allowed. You can see it's aimed at the largest possible group of readers, it should be possible to read through this after 24 hours stuck in a plane - 'airport fiction'! It's saved by being somewhat gripping towards the end, <i>if</i> you can look past the parts of the story that by now have become cliches.<br/><br/>P.S.: The movie is saved by having a very different plot, and, of all people, Werner Herzog telling people to chew their fingers off, yesssss",,,1,,,0,,,,,
78129,Time for Research: Time Management for PhD Students,Lee Child,"Child, Lee",,515141429,9.78052E+12,2,4.05,Verso,Mass Market Paperback,424,2006,1997,,5/14/2019,"thriller, action, america, absurd","thriller (#1), action (#1), america (#83), absurd (#4)",read,,,,1,,,0,,,,,
43560857,The Wall Will Tell You: The Forensics of Screenwriting,Lizzie O'Shea,"O'Shea, Lizzie",,,,0,4.43,Princeton University Press,Kindle Edition,240,2019,,,5/14/2019,to-read,to-read (#1790),to-read,,,,0,,,0,,,,,
41795381,"Ruined by Design: How Designers Destroyed the World, and What We Can Do to Fix It",John Quiggin,"Quiggin, John",,691154945,9.78069E+12,0,4.11,O'Reilly,Hardcover,408,2019,,,5/13/2019,to-read,to-read (#1789),to-read,,,,0,,,0,,,,,
23463279,The Quest for Corvo: An Experiment in Biography,Martin Kleppmann,"Kleppmann, Martin",,,,0,4.72,Del Rey,ebook,562,,2015,,5/13/2019,to-read,to-read (#1788),to-read,,,,0,,,0,,,,,
25815564,Autobiography,Maria Gardiner,"Gardiner, Maria",Hugh Kearns,,,0,5,Melville House,,24,2006,2006,,5/7/2019,to-read,to-read (#1785),to-read,"The man who wrote the screenplay for both <i>Blade Runner</i> and <i>Blade Runner 2049</i> has published a book of screenwriting advice, formulated in tiny tidbits, or maybe koans, whatever you prefer.<br/><br/>Most of it is about how to construct a tight story, Hollywood-style, i.e., there has to be an antagonist, a climax, a personal story, so on, how most Hollywood-movies are structured. Your characters have to want things, you should believe in them, and so on.<br/><br/>As an example, here's one of these tips/tweets?/koans?/paragraphs:<br/><blockquote><br/>Too much talk and not enough trouble is a bad thing to do. Exposition should be disguised, hidden in the trouble. Don't be explaining things. Get rid of elaboration, keep the ball in the air, wake up the story. Draw a tree of the story. Climb the tree.<br/></blockquote><br/><br/>Definitely aimed at screenwriters, less so if you're interested in any other form of writing (even though there's still good advice here and there)<br/>",,,0,,,0,,,,,
42893002,Black Wings Has My Angel,Hampton Fancher,"Fancher, Hampton",,1612197612,9.78161E+12,3,3.79,,Paperback,80,2019,,,3/12/2019,"on-writing, america, non-fiction","on-writing (#8), america (#82), non-fiction (#168)",read,,,,1,,,0,,,,,
44432844,Fever Dream,Mike Monteiro,"Monteiro, Mike",,,,0,4.2,Pegasus Books,Kindle Edition,251,2019,,,5/5/2019,to-read,to-read (#1784),to-read,,,,0,,,0,,,,,
43811262,"Automating Inequality: How High-Tech Tools Profile, Police, and Punish the Poor",Gareth Williams,"Williams, Gareth",,1643132156,9.78164E+12,0,4,Random House Trade,Hardcover,504,2019,,,5/4/2019,to-read,to-read (#1783),to-read,,,,0,,,0,,,,,
36739940,Programmed Inequality: How Britain Discarded Women Technologists and Lost Its Edge in Computing,Sam Walker,"Walker, Sam",,812987071,9.78081E+12,0,3.98,NYRB Classics,Paperback,368,2018,2016,,12/17/2018,to-read,to-read (#1678),to-read,,,,0,,,0,,,,,
74431,"The AI Does Not Hate You: Superintelligence, Rationality and the Race to Save the World",A.J.A. Symons,"Symons, A.J.A.",A.S. Byatt,940322617,9.78094E+12,0,4.04,Penguin Books,Paperback,312,2001,1932,,5/3/2019,to-read,to-read (#1782),to-read,,,,0,,,0,,,,,
18625064,The Death of the Gods: The New Global Power Grab,Morrissey,"Morrissey, Morrissey",,,,0,3.64,NYRB Classics,Paperback,457,2013,2013,,10/21/2013,to-read,to-read (#335),to-read,"<blockquote><br/>And there came a rattling from the tower, not a deadly sound or a dramatic one, a commonplace rattling like someone shaking rocks in a cigar box. And Jeepie’s face became a tangle of shining black, a modernistic tangle of fluid and flesh where the bullets from the tower tore into it. It was still a face, but you couldn’t tell where the eyes and mouth had been before the gun began rattling in the tower; then it wasn’t a face at all and Thompson and I were running away from the wall.<br/></blockquote><br/><br/>As soon as the book's description mentioned Jim Thompson I was hooked. Thompson wrote the absolute masterpiece of <i>Pop. 1280</i>, which everyone should read, and the connection to Chaze's writing is obvious - both feature antiheroes somewhat outside of society, people who would play by the rules if they had ever learned them, but they're too poor, obstinate, hard-headed to even bother learning (another obvious connection (also dug up and republished by NYRB) is Carpenter's <i>Hard Rain Falling</i>). <br/><br/>The unlikely-named Tim Sunblade escapes prison and sets out to make as much money as possible. He meets a prostitute who, like him, is on the run and has always lived on the fringes of society. Together they try to <spoiler>successfully</spoiler> heist a money transporter, but in the end, it's all for nothing - you can't win. The game was stacked against you before you were born.<br/><br/><blockquote><br/>You’ve never heard a siren until you’ve heard one looking for you and you alone. Then you really hear it and know what it is and understand that the man who invented it was no man, but a fiend from hell who patched together certain sounds and blends of sounds in a way that would paralyze and sicken. You sit in your living room and hear a siren and it’s a small and lonesome thing and all it means to you is that you have to listen until it goes away. But when it is after you, it is the texture of the whole world. You will hear it until you die. It tears the guts out of you like a drill against a nerve and it moves into you and expands.<br/></blockquote>",,,0,,,0,,,,,
25489208,"Hands-On Machine Learning with Scikit-Learn, Keras, and Tensorflow: Concepts, Tools, and Techniques to Build Intelligent Systems",Elliott Chaze,"Chaze, Elliott",Barry Gifford,1590179161,9.78159E+12,4,4.17,Riverhead Books,Paperback,209,2016,1953,,4/24/2019,"noir, america, crime","noir (#6), america (#81), crime (#19)",read,"Three nights ago, I was awakened by a soft <i>'papa, papa, papa'</i> at 3am. I got out of bed to see what was the issue, and found my son standing alone, in the dark, in the middle of the living room, with his eyes closed, saying <i>papa</i> over and over again. <br/>I carried him back to bed.<br/><br/><i>Fever Dream</i> is from that place of 'creepy kids', but much more. The main structure is a kind-of interview with a mother of a child who has to figure out what happened, everything is foggy and she cannot remember, her mind is fog. The reader is being kept in the dark and has to figure out what happened at the same time. The mother has somehow lost her daughter, and her neighbour's extremely creepy son has something to do with the disappearance.<br/><br/>It's good that this book is so short, because the dialogues-within-interview structure can get exhausting, but the atmosphere is <i>on point</i>, and it really feels like being stuck in a fever dream, just *dense*. Very good.",,,2,,,0,,,,,
30763882,How to Raise Successful People: Simple Lessons for Radical Results,Samanta Schweblin,"Schweblin, Samanta",Megan McDowell,399184597,9.7804E+12,4,3.72,St. Martin's Press,Hardcover,192,2017,2014,,4/18/2019,"argentina, horror, novella","argentina (#2), horror (#12), novella (#11)",read,,,,1,,,0,,,,,
34964830,Say Nothing: A True Story of Murder and Memory in Northern Ireland,Virginia Eubanks,"Eubanks, Virginia",,1250074312,9.78125E+12,0,4.01,MIT Press,Hardcover,272,2018,2018,,5/1/2019,to-read,to-read (#1781),to-read,,,,0,,,0,,,,,
32078427,The Great Believers,Marie Hicks,"Hicks, Marie",,262035545,9.78026E+12,0,4.2,Weidenfeld & Nicolson,Hardcover,352,2017,2017,,5/1/2019,to-read,to-read (#1780),to-read,,,,0,,,0,,,,,
44154569,The Computer - My Life,Tom Chivers,"Chivers, Tom",,,,0,4.25,Windmill Books,Kindle Edition,304,2019,,,4/29/2019,to-read,to-read (#1779),to-read,,,,0,,,0,,,,,
41087254,One Hundred Years of Dirt,Carl  Miller,"Miller, Carl",,1786090120,9.78179E+12,0,3.98,O'Reilly Media,Paperback,400,2019,2018,,4/29/2019,to-read,to-read (#1778),to-read,,,,0,,,0,,,,,
40363665,"Cosmodolphins: Feminist Cultural Studies of Technology, Animals and the Sacred",Aurélien Géron,"Géron, Aurélien",,1492032646,9.78149E+12,0,4.63,Houghton Mifflin Harcourt,Paperback,818,2019,,,4/28/2019,to-read,to-read (#1777),to-read,,,,0,,,0,,,,,
40796147,The Collected Schizophrenias: Essays,Esther Wojcicki,"Wojcicki, Esther",,1328974863,9.78133E+12,0,3.92,Doubleday Books,Hardcover,336,2019,2019,,4/28/2019,to-read,to-read (#1776),to-read,"What a strange time to finish reading this book, just before it was announced that something called the 'New IRA' killed a reporter in Londonderry, when Brexit may inadvertently lead to a united Ireland.<br/><br/>This details the story of the 'disappearance'/murder of Jean McConville, single mother of ten (!!!), by the Provisional IRA (not the official IRA, that's a different thing). Keefe uses the story of her disappearance (only sixteen people were 'disappeared' - killed and their bodies hidden - by the provisional IRA - many, many more were killed and their bodies dumped in the streets as warnings) as a chance to explain the history of the Provisional IRA, and a history of the Troubles, and why Gerry Adams is Not A Nice Man (his Wikipedia article is much nicer than the book!). The book focuses on a few key personalities of the Provisional IRA, especially the Price sisters (one of them is on the cover), as those two 'might' have had a key part in the killing of McConville, but were also the most famous Provisional IRA members.<br/><br/>As a German I'm not particularly well-versed in the history of the Troubles, so this was a stellar introduction and overview. What particularly struck me is how similar the people around the Price sisters were to the German RAF: very young, violent people dying in secretly coordinated hunger strikes in purpose-built prisons, fighting against a system they see unjust while the system force-feeds them.<br/><br/>If you're looking for a timely introduction to the Troubles in preparation of what's happening right now and what's to come, you'll have to read this book. The Provos haven't gone away, just like the Official IRA they're being replaced by their children's organisations.<br/><br/><br/>P.S.:<br/><blockquote><br/>The continued existence of republican and loyalist outfits didn’t hurt the peace process – it helped it. It was because of the ‘authority’ conferred by these persisting hierarchies that such groups were able to ‘influence, restrain and manage’ their members, the report maintained, noting that there had been only ‘limited indications of dissent to date’, which were quickly dealt with ‘by the leadership’.<br/></blockquote>",,,0,,,0,,,,,
40163119,Notes on a Nervous Planet,Patrick Radden Keefe,"Keefe, Patrick Radden",,385521316,9.78039E+12,4,4.5,Viking,Hardcover,464,2019,2018,,3/20/2019,"non-fiction, ireland","non-fiction (#167), ireland (#1)",read,,,,1,,,0,,,,,
36739329,All That Is Solid Melts Into Air: The Experience of Modernity,Rebecca Makkai,"Makkai, Rebecca",,735223521,9.78074E+12,0,4.24,Springer,Hardcover,421,2018,2018,,4/24/2019,to-read,to-read (#1775),to-read,,,,0,,,0,,,,,
